record,kind,year,title,doi,source_status,access
BV-LIT-001,Review,2023,"Microbial fuel cell: A state-of-the-art and revolutionizing technology for efficient energy recovery",10.1016/j.clcb.2023.100050,"Full text reviewed from supplied PDF 10",Public
BV-LIT-002,Review,2022,"Recent progress in microbial fuel cells using substrates from diverse sources",10.1016/j.heliyon.2022.e12353,"Full text reviewed from supplied PDF 5",Public
BV-LIT-003,Review,2022,"Applications of Nanomaterials in Microbial Fuel Cells: A Review",10.3390/molecules27217483,"Full text reviewed from supplied PDF 4",Public
BV-LIT-004,Review,2023,"Microbial Fuel Cell Construction Features and Application for Sustainable Wastewater Treatment",10.3390/membranes13050490,"Full text reviewed from supplied PDF 6",Public
BV-LIT-005,Review,2025,"New horizons in microbial fuel cell technology: applications, challenges, and prospects",10.1186/s13068-025-02649-y,"Full text reviewed from supplied PDF 9",Public
BV-LIT-006,Review,2025,"Recent Applications, Challenges, and Future Prospects of Microbial Fuel Cells: A Review",10.1002/gch2.202500004,"Full text reviewed from supplied PDF 8",Public
BV-LIT-007,Primary research,2025,"Enhancing Electron Transfer Efficiency in Microbial Fuel Cells Through Gold Nanoparticle Modification of Saccharomyces cerevisiae",10.3390/microorganisms13081938,"Verified from public full text",Public
BV-LIT-008,Primary research,2016,"Strain- and Substrate-Dependent Redox Mediator and Electricity Production by Pseudomonas aeruginosa",10.1128/AEM.01342-16,"Verified from public full text",Public
BV-LIT-009,Primary research,2017,"Characterization of the Electric Current Generation Potential of Pseudomonas aeruginosa Using Glucose, Fructose, and Sucrose in Double Chamber Microbial Fuel Cell",10.15171/ijb.1608,"Full text reviewed from supplied PDF 1",Public
BV-LIT-010,Primary research,2018,"Halophilic starch degrading bacteria isolated from Sambhar Lake, India, as potential anode catalyst in microbial fuel cell: A promising process for saline water treatment",10.1016/j.biortech.2018.02.044,"PDF 11 reviewed privately; file deliberately not published",Private reviewed
BV-LIT-011,Primary research,2023,"Power Generation by Halophilic Bacteria and Assessment of the Effect of Salinity on Performance of a Denitrifying Microbial Fuel Cell",10.3390/en16020877,"Full text reviewed from supplied PDF 2",Public
BV-LIT-012,Primary research,2011,"From microbial fuel cell (MFC) to microbial electrochemical snorkel (MES): maximizing chemical oxygen demand (COD) removal from wastewater",10.1080/08927014.2011.564615,"Full text reviewed from supplied COD-removal PDF",Public
BV-SUP-001,Supporting source,2021,"Use of Biochar-Based Cathodes and Increase in the Electron Flow by Pseudomonas aeruginosa to Improve Waste Treatment in Microbial Fuel Cells",10.3390/pr9111941,"Full text reviewed from supplied PDF 7",Public
BV-SUP-002,Supporting source,2022,"Isolation and characterization of halophilic isolates from Indian salterns and their screening for production of hydrolytic enzymes",10.1016/j.envc.2021.100426,"Supplied PDF 3 was a security page; metadata and abstract verified",Public metadata only
